category,file,line,routine,phase,expression,stretch_aware,curated,amr_impact,notes
interface_min_corner,init.f90,1413,DEFINE_EDGE,setup,,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner)
interface_min_corner,init.f90,4924,REASSIGN_WALL_CELLS,runtime+setup,MM%CELL%SOLID; MM%CELL_INDEX,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner)
interface_min_corner,init.f90,5164,GET_BOUNDARY_TYPE,runtime+setup,MESHES%CELL_INDEX,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner)
interface_min_corner,main.f90,2890,ZONE_BOUNDARY_EXCHANGE,setup,OM%PRESSURE_ZONE; call:ASSIGN_PRESSURE_ZONE,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner)
interface_min_corner,pres.f90,124,PRESSURE_SOLVER_COMPUTE_RHS,runtime,MESHES,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner_inline)
interface_min_corner,pres.f90,127,PRESSURE_SOLVER_COMPUTE_RHS,runtime,MESHES,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner_inline)
interface_min_corner,pres.f90,130,PRESSURE_SOLVER_COMPUTE_RHS,runtime,MESHES,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner_inline)
interface_min_corner,pres.f90,133,PRESSURE_SOLVER_COMPUTE_RHS,runtime,MESHES,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner_inline)
interface_min_corner,pres.f90,136,PRESSURE_SOLVER_COMPUTE_RHS,runtime,MESHES,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner_inline)
interface_min_corner,pres.f90,139,PRESSURE_SOLVER_COMPUTE_RHS,runtime,MESHES,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner_inline)
interface_min_corner,pres.f90,914,COMPUTE_VELOCITY_ERROR,runtime,,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner)
interface_min_corner,turb.f90,2284,SANDIA_DAT,setup,M2%U; M2%V; M2%W,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner)
interface_min_corner,wall.f90,357,ASSIGN_GHOST_VALUE,runtime+setup,MM%CELL_INDEX,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner)
interface_min_corner,wall.f90,839,SURFACE_HEAT_TRANSFER,runtime+setup,MM%DZ,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner)
interface_min_corner,wall.f90,1371,CALCULATE_ZZ_F,runtime+setup,MESHES%CELL%OBST_INDEX; MESHES%CELL_INDEX,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner)
first_cell_width,dump.f90,5197,DUMP::DUMP_SMOKE3D_VTKHDF,runtime+setup,"DXX = REAL(DX(1),FB)",no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,dump.f90,12953,DUMP::DUMP_ROTCUBE_MMS,runtime+setup,"WRITE(LU_MMS,'_________________________________________') NTOT_U,'_',NTOT_W,'_',NTOT_C,'_',T,'_',DX(1),'_',DZ(1)",no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,dump.f90,13054,DUMP::DUMP_ROTCUBE_MMS,runtime+setup,"WRITE(LU_MMS,'_________________________________________') NTOT_U,'_',NTOT_W,'_',NTOT_C,'_',T,'_',DX(1),'_',DZ(1)",no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,geom.f90,15555,COMPLEX_GEOMETRY_GRID::GET_GEOM_TRIBIN,setup,"MINMAX_MESHES( LOW_IND,IAXIS) = MIN(MINMAX_MESHES( LOW_IND,IAXIS),MESHES(NM)%XS-REAL(NGUARD,EB)*MESHES(NM)%DX( 1))",no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,geom.f90,15558,COMPLEX_GEOMETRY_GRID::GET_GEOM_TRIBIN,setup,"MINMAX_MESHES( LOW_IND,JAXIS) = MIN(MINMAX_MESHES( LOW_IND,JAXIS),MESHES(NM)%YS-REAL(NGUARD,EB)*MESHES(NM)%DY( 1))",no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,geom.f90,15561,COMPLEX_GEOMETRY_GRID::GET_GEOM_TRIBIN,setup,"MINMAX_MESHES( LOW_IND,KAXIS) = MIN(MINMAX_MESHES( LOW_IND,KAXIS),MESHES(NM)%ZS-REAL(NGUARD,EB)*MESHES(NM)%DZ( 1))",no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,geom.f90,15568,COMPLEX_GEOMETRY_GRID::GET_GEOM_TRIBIN,setup,"MINMAX_MESHES( LOW_IND,IAXIS) = MIN(MINMAX_MESHES( LOW_IND,IAXIS),MESHES(NOM)%XS-REAL(NGUARD,EB)*MESHES(NOM)%DX( 1))",no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,geom.f90,15571,COMPLEX_GEOMETRY_GRID::GET_GEOM_TRIBIN,setup,"MINMAX_MESHES( LOW_IND,JAXIS) = MIN(MINMAX_MESHES( LOW_IND,JAXIS),MESHES(NOM)%YS-REAL(NGUARD,EB)*MESHES(NOM)%DY( 1))",no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,geom.f90,15574,COMPLEX_GEOMETRY_GRID::GET_GEOM_TRIBIN,setup,"MINMAX_MESHES( LOW_IND,KAXIS) = MIN(MINMAX_MESHES( LOW_IND,KAXIS),MESHES(NOM)%ZS-REAL(NGUARD,EB)*MESHES(NOM)%DZ( 1))",no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,geom.f90,22552,COMPLEX_GEOMETRY_GRID::GET_CARTCELL_CUTEDGES,setup,"IF (EDGECUBE(HIGH_IND,IAXIS) < X( 0)-REAL(NGUARD,EB)*DX( 1)) CYCLE",no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,geom.f90,22554,COMPLEX_GEOMETRY_GRID::GET_CARTCELL_CUTEDGES,setup,"IF (EDGECUBE(HIGH_IND,JAXIS) < Y( 0)-REAL(NGUARD,EB)*DY( 1)) CYCLE",no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,geom.f90,22556,COMPLEX_GEOMETRY_GRID::GET_CARTCELL_CUTEDGES,setup,"IF (EDGECUBE(HIGH_IND,KAXIS) < Z( 0)-REAL(NGUARD,EB)*DZ( 1)) CYCLE",no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,pres.f90,125,PRES::PRESSURE_SOLVER_COMPUTE_RHS,runtime,"BXS(J,K) = (DX_OTHER*HP(1,J,K) + DX(1)*HP(0,J,K))/(DX(1)+DX_OTHER) + WALL_WORK1(IW)",no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,pres.f90,131,PRES::PRESSURE_SOLVER_COMPUTE_RHS,runtime,"BYS(I,K) = (DY_OTHER*HP(I,1,K) + DY(1)*HP(I,0,K))/(DY(1)+DY_OTHER) + WALL_WORK1(IW)",no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,pres.f90,137,PRES::PRESSURE_SOLVER_COMPUTE_RHS,runtime,"BZS(I,J) = (DZ_OTHER*HP(I,J,1) + DZ(1)*HP(I,J,0))/(DZ(1)+DZ_OTHER) + WALL_WORK1(IW)",no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,pres.f90,541,PRES::TUNNEL_POISSON_SOLVER,runtime,IF (NM>1) TP_RDXN(I_OFFSET(NM)) = 2._EB/(MESHES(NM-1)%DX(MESHES(NM-1)%IBAR)+M%DX(1)),no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,pres.f90,542,PRES::TUNNEL_POISSON_SOLVER,runtime,IF (NM<NMESHES) TP_RDXN(I_OFFSET(NM)+M%IBAR) = 2._EB/(MESHES(NM+1)%DX(1) +M%DX(M%IBAR)),no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,pres.f90,687,PRES::TUNNEL_POISSON_SOLVER,runtime,M%BXS_BAR = (H_BAR(I_OFFSET(NM))*M%DX(1) + H_BAR(I_OFFSET(NM)+1)*DXO)/(M%DX(1)+DXO),no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,pres.f90,690,PRES::TUNNEL_POISSON_SOLVER,runtime,DXO = MESHES(NM+1)%DX(1),no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,read.f90,10842,READ_INPUT::READ_OBST,setup,IF (XB1>M%XF+M%DX(M%IBAR) .OR. XB2<M%XS-M%DX(1) .OR. XB3>M%YF+M%DY(M%JBAR) .OR. XB4<M%YS-M%DY(1) .OR. XB5>M%ZF+M%DZ(M%KBAR) .OR. XB6<M%ZS-M%,no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,read.f90,16343,READ_INPUT::READ_SLCF,setup,"M%K_AGL_SLICE(0:IBP1,0:JBP1,N) = INT(SL%AGL_SLICE*M%RDZ(1))",no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,turb.f90,2201,TURBULENCE::SANDIA_DAT,setup,NX = NINT((XF_MAX-XS_MIN)/M%DX(1)),no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,turb.f90,2316,TURBULENCE::INIT_SPECTRAL_DATA,setup,NX = NINT((XF_MAX-XS_MIN)/M%DX(1)),no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,turb.f90,2357,TURBULENCE::SPECTRAL_OUTPUT,unreached,"NN = NINT((XF_MAX-XS_MIN)/MM%DX(1)) ! obviously, assumes uniform grid spacing",no,yes,diagnostic-only,"Source comment admits the assumption; also turb.f90:2201, 2316, 2420 and the NINT(M%XS/M%DX(1)) global lattice at turb.f90:2372-2376, 2431-2435 (mesh 1 only: IF (NM>1) RETURN, turb.f90:2354)."
first_cell_width,turb.f90,2372,TURBULENCE::SPECTRAL_OUTPUT,unreached,KK = NINT(M%ZS/M%DZ(1)) + K,no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,turb.f90,2374,TURBULENCE::SPECTRAL_OUTPUT,unreached,JJ = NINT(M%YS/M%DY(1)) + J,no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,turb.f90,2376,TURBULENCE::SPECTRAL_OUTPUT,unreached,II = NINT(M%XS/M%DX(1)) + I,no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,turb.f90,2420,TURBULENCE::SANDIA_OUT,runtime+setup,NN = NINT((XF_MAX-XS_MIN)/MM%DX(1)),no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,turb.f90,2431,TURBULENCE::SANDIA_OUT,runtime+setup,KK = NINT(M%ZS/M%DZ(1)) + K,no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,turb.f90,2433,TURBULENCE::SANDIA_OUT,runtime+setup,JJ = NINT(M%YS/M%DY(1)) + J,no,no,wrong on a box whose first cell differs (stretched/refined),
first_cell_width,turb.f90,2435,TURBULENCE::SANDIA_OUT,runtime+setup,II = NINT(M%XS/M%DX(1)) + I,no,no,wrong on a box whose first cell differs (stretched/refined),
ghost_spacing_copy,read.f90,1306,READ_INPUT::READ_TRAN,setup,M%DX(0) = M%DX(1),n/a,no,ghost width must be the neighbour's (coarse or fine) width at a level jump,
ghost_spacing_copy,read.f90,1308,READ_INPUT::READ_TRAN,setup,M%RDX(0) = 1._EB/M%DX(1),n/a,no,ghost width must be the neighbour's (coarse or fine) width at a level jump,
ghost_spacing_copy,read.f90,1351,READ_INPUT::READ_TRAN,setup,M%DY(0) = M%DY(1),n/a,no,ghost width must be the neighbour's (coarse or fine) width at a level jump,
ghost_spacing_copy,read.f90,1353,READ_INPUT::READ_TRAN,setup,M%RDY(0) = 1._EB/M%DY(1),n/a,no,ghost width must be the neighbour's (coarse or fine) width at a level jump,
ghost_spacing_copy,read.f90,1387,READ_INPUT::READ_TRAN,setup,M%DZ(0) = M%DZ(1),n/a,no,ghost width must be the neighbour's (coarse or fine) width at a level jump,
ghost_spacing_copy,read.f90,1389,READ_INPUT::READ_TRAN,setup,M%RDZ(0) = 1._EB/M%DZ(1),n/a,no,ghost width must be the neighbour's (coarse or fine) width at a level jump,
mesh_sequence,main.f90,1316,FDS::MPI_INITIALIZATION_CHORES,setup,I_OFFSET(NM) = I_OFFSET(NM-1) + MESHES(NM-1)%IBAR,n/a,no,mesh-number adjacency,
mesh_sequence,pres.f90,541,PRES::TUNNEL_POISSON_SOLVER,runtime,IF (NM>1) TP_RDXN(I_OFFSET(NM)) = 2._EB/(MESHES(NM-1)%DX(MESHES(NM-1)%IBAR)+M%DX(1)),n/a,no,mesh-number adjacency,
mesh_sequence,pres.f90,542,PRES::TUNNEL_POISSON_SOLVER,runtime,IF (NM<NMESHES) TP_RDXN(I_OFFSET(NM)+M%IBAR) = 2._EB/(MESHES(NM+1)%DX(1) +M%DX(M%IBAR)),n/a,no,mesh-number adjacency,
mesh_sequence,pres.f90,686,PRES::TUNNEL_POISSON_SOLVER,runtime,DXO = MESHES(NM-1)%DX(MESHES(NM-1)%IBAR),n/a,no,mesh-number adjacency,
mesh_sequence,pres.f90,690,PRES::TUNNEL_POISSON_SOLVER,runtime,DXO = MESHES(NM+1)%DX(1),n/a,no,mesh-number adjacency,
mesh_sequence,read.f90,10182,READ_INPUT::READ_PRES,setup,IF (MESHES(NM)%YS/=MESHES(NM-1)%YS .OR. MESHES(NM)%YF/=MESHES(NM-1)%YF .OR. MESHES(NM)%ZS/=MESHES(NM-1)%ZS .OR. MESHES(NM)%ZF/=MESHES(NM-1)%,n/a,no,mesh-number adjacency,
global_min_size,dump.f90,2265,DUMP::WRITE_SMOKEVIEW_FILE,setup,"WRITE(MYSTR,'_______') MIN(200._EB,20._EB/CHARACTERISTIC_CELL_SIZE)",n/a,no,global threshold scales with the finest level,
global_min_size,read.f90,187,READ_INPUT::READ_DATA,setup,DT = CFL_MAX*CHARACTERISTIC_CELL_SIZE/VEL_CHAR,n/a,no,global threshold scales with the finest level,
global_min_size,read.f90,796,READ_INPUT::READ_MESH,setup,"CHARACTERISTIC_CELL_SIZE = MIN( CHARACTERISTIC_CELL_SIZE , M%CELL_SIZE )",n/a,no,global threshold scales with the finest level,
global_min_size,read.f90,916,READ_INPUT::PROC_MESH,setup,"MESH_SEPARATION_DISTANCE = MIN(1.E-3_EB,0.05_EB*CHARACTERISTIC_CELL_SIZE)",n/a,no,global threshold scales with the finest level,
global_min_size,read.f90,917,READ_INPUT::PROC_MESH,setup,IF (NEIGHBOR_SEPARATION_DISTANCE<0._EB) NEIGHBOR_SEPARATION_DISTANCE = 4.56789_EB*CHARACTERISTIC_CELL_SIZE,n/a,no,global threshold scales with the finest level,
global_min_size,read.f90,10161,READ_INPUT::READ_PRES,setup,IF (VELOCITY_TOLERANCE<TWENTY_EPSILON_EB) VELOCITY_TOLERANCE = 0.5_EB*CHARACTERISTIC_CELL_SIZE,n/a,no,global threshold scales with the finest level,
global_min_size,read.f90,10162,READ_INPUT::READ_PRES,setup,"IF (PRESSURE_TOLERANCE<TWENTY_EPSILON_EB) PRESSURE_TOLERANCE = 20.0_EB/MIN(1._EB,CHARACTERISTIC_CELL_SIZE)**2",n/a,no,global threshold scales with the finest level,
global_min_size,read.f90,13866,READ_INPUT::READ_DEVC,setup,"IF (QUANTITY=='__________'.AND.(QUANTITY_RANGE(1)-1.E20_EB)<TWENTY_EPSILON_EB) QUANTITY_RANGE(1) = MIN(200._EB,20._EB/CHARACTERISTIC_CELL_SI",n/a,no,global threshold scales with the finest level,
global_min_size,vege.f90,1267,VEGE::UPDATE_FIRE_SPREAD_OUTPUTS::COMPUTE_FIRE_SPREAD_OUTPUTS,runtime+setup,"HRRPUVCUT = 1.E3_EB*MIN(200._EB,20._EB/CHARACTERISTIC_CELL_SIZE)",n/a,no,global threshold scales with the finest level,
representative_size,geom.f90,2079,COMPLEX_GEOMETRY::READ_GEOM,setup,DX = M%DXMIN,n/a,no,single per-mesh length scale; ambiguous for a box at level l,
representative_size,init.f90,5269,INIT::INITIAL_NOISE,setup,RN = NOISE_VELOCITY*(-1._EB + 2._EB*RN)*CELL_SIZE,n/a,no,single per-mesh length scale; ambiguous for a box at level l,
representative_size,init.f90,5282,INIT::INITIAL_NOISE,setup,RN = NOISE_VELOCITY*(-1._EB + 2._EB*RN)*CELL_SIZE,n/a,no,single per-mesh length scale; ambiguous for a box at level l,
representative_size,init.f90,5295,INIT::INITIAL_NOISE,setup,RN = NOISE_VELOCITY*(-1._EB + 2._EB*RN)*CELL_SIZE,n/a,no,single per-mesh length scale; ambiguous for a box at level l,
representative_size,read.f90,791,READ_INPUT::READ_MESH,setup,M%CELL_SIZE = SQRT(M%DXI*M%DZETA),n/a,no,single per-mesh length scale; ambiguous for a box at level l,
representative_size,read.f90,793,READ_INPUT::READ_MESH,setup,M%CELL_SIZE = (M%DXI*M%DETA*M%DZETA)**ONTH,n/a,no,single per-mesh length scale; ambiguous for a box at level l,
representative_size,read.f90,796,READ_INPUT::READ_MESH,setup,"CHARACTERISTIC_CELL_SIZE = MIN( CHARACTERISTIC_CELL_SIZE , M%CELL_SIZE )",n/a,no,single per-mesh length scale; ambiguous for a box at level l,
representative_size,read.f90,1280,READ_INPUT::READ_TRAN,setup,M%DXMIN = 1000000._EB,n/a,no,single per-mesh length scale; ambiguous for a box at level l,
representative_size,read.f90,1293,READ_INPUT::READ_TRAN,setup,"M%DXMIN = MIN(M%DXMIN,M%DX(I))",n/a,no,single per-mesh length scale; ambiguous for a box at level l,
representative_size,read.f90,1330,READ_INPUT::READ_TRAN,setup,M%DYMIN = 1000000._EB,n/a,no,single per-mesh length scale; ambiguous for a box at level l,
representative_size,read.f90,1338,READ_INPUT::READ_TRAN,setup,"M%DYMIN = MIN(M%DYMIN,M%DY(J))",n/a,no,single per-mesh length scale; ambiguous for a box at level l,
representative_size,read.f90,1366,READ_INPUT::READ_TRAN,setup,M%DZMIN = 1000000._EB,n/a,no,single per-mesh length scale; ambiguous for a box at level l,
representative_size,read.f90,1374,READ_INPUT::READ_TRAN,setup,"M%DZMIN = MIN(M%DZMIN,M%DZ(K))",n/a,no,single per-mesh length scale; ambiguous for a box at level l,
snap_computational,dump.f90,1409,DUMP::INITIALIZE_MESH_DUMPS,setup,"PA%I1 = MIN(M%IBAR,MAX(0,NINT( GINV(OB%X1-M%XS,1,NM)*RDXI )))",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,dump.f90,1410,DUMP::INITIALIZE_MESH_DUMPS,setup,"PA%I2 = MIN(M%IBAR,MAX(0,NINT( GINV(OB%X2-M%XS,1,NM)*RDXI )))",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,dump.f90,1411,DUMP::INITIALIZE_MESH_DUMPS,setup,"PA%J1 = MIN(M%JBAR,MAX(0,NINT( GINV(OB%Y1-M%YS,2,NM)*RDETA )))",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,dump.f90,1412,DUMP::INITIALIZE_MESH_DUMPS,setup,"PA%J2 = MIN(M%JBAR,MAX(0,NINT( GINV(OB%Y2-M%YS,2,NM)*RDETA )))",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,dump.f90,1413,DUMP::INITIALIZE_MESH_DUMPS,setup,"PA%K1 = MIN(M%KBAR,MAX(0,NINT( GINV(OB%Z1-M%ZS,3,NM)*RDZETA )))",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,dump.f90,1414,DUMP::INITIALIZE_MESH_DUMPS,setup,"PA%K2 = MIN(M%KBAR,MAX(0,NINT( GINV(OB%Z2-M%ZS,3,NM)*RDZETA )))",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,init.f90,2671,INIT::INITIALIZE_DEVICES,setup,"II = INT(GINV(DV%X-M%XS,1,NM)*M%RDXI + 1._EB)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,init.f90,2672,INIT::INITIALIZE_DEVICES,setup,"JJ = INT(GINV(DV%Y-M%YS,2,NM)*M%RDETA + 1._EB)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,init.f90,2673,INIT::INITIALIZE_DEVICES,setup,"KK = INT(GINV(DV%Z-M%ZS,3,NM)*M%RDZETA + 1._EB)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,init.f90,2790,INIT::INITIALIZE_PROFILES,setup,"II = INT(GINV(PF%X-M%XS,1,NM)*M%RDXI + 1._EB)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,init.f90,2791,INIT::INITIALIZE_PROFILES,setup,"JJ = INT(GINV(PF%Y-M%YS,2,NM)*M%RDETA + 1._EB)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,init.f90,2792,INIT::INITIALIZE_PROFILES,setup,"KK = INT(GINV(PF%Z-M%ZS,3,NM)*M%RDZETA + 1._EB)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,pres.f90,452,PRES::PRESSURE_SOLVER_FFT,runtime,"IF (LBC==3 .OR. LBC==4) HP(0,J,K) = HP(1,J,K) - DXI*BXS(J,K)",no,no,geometry snaps to the lattice of each level separately,
snap_computational,pres.f90,453,PRES::PRESSURE_SOLVER_FFT,runtime,"IF (LBC==3 .OR. LBC==2 .OR. LBC==6) HP(IBP1,J,K) = HP(IBAR,J,K) + DXI*BXF(J,K)",no,no,geometry snaps to the lattice of each level separately,
snap_computational,pres.f90,468,PRES::PRESSURE_SOLVER_FFT,runtime,"IF (MBC==3 .OR. MBC==4) HP(I,0,K) = HP(I,1,K) - DETA*BYS(I,K)",no,no,geometry snaps to the lattice of each level separately,
snap_computational,pres.f90,469,PRES::PRESSURE_SOLVER_FFT,runtime,"IF (MBC==3 .OR. MBC==2) HP(I,JBP1,K) = HP(I,JBAR,K) + DETA*BYF(I,K)",no,no,geometry snaps to the lattice of each level separately,
snap_computational,pres.f90,483,PRES::PRESSURE_SOLVER_FFT,runtime,"IF (NBC==3 .OR. NBC==4) HP(I,J,0) = HP(I,J,1) - DZETA*BZS(I,J)",no,no,geometry snaps to the lattice of each level separately,
snap_computational,pres.f90,484,PRES::PRESSURE_SOLVER_FFT,runtime,"IF (NBC==3 .OR. NBC==2) HP(I,J,KBP1) = HP(I,J,KBAR) + DZETA*BZF(I,J)",no,no,geometry snaps to the lattice of each level separately,
snap_computational,pres.f90,611,PRES::TUNNEL_POISSON_SOLVER,runtime,TP_CC(1) = TP_CC(1) + M%DXI*M%BXS_BAR*TP_BB(1),no,no,geometry snaps to the lattice of each level separately,
snap_computational,pres.f90,621,PRES::TUNNEL_POISSON_SOLVER,runtime,TP_CC(TUNNEL_NXP) = TP_CC(TUNNEL_NXP) - M%DXI*M%BXF_BAR*TP_AA(TUNNEL_NXP),no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,777,READ_INPUT::READ_MESH,setup,"M%DXI = (M%XF-M%XS)/REAL(M%IBAR,EB)",no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,778,READ_INPUT::READ_MESH,setup,"M%DETA = (M%YF-M%YS)/REAL(M%JBAR,EB)",no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,779,READ_INPUT::READ_MESH,setup,"M%DZETA = (M%ZF-M%ZS)/REAL(M%KBAR,EB)",no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,780,READ_INPUT::READ_MESH,setup,M%RDXI = 1._EB/M%DXI,no,no,geometry snaps to the lattice of each level separately,
