relation,from,to,index_domain,declared,set_at,used_at,amr_notes
thin_wall,"CELL(IC)%THIN_WALL_INDEX(IOR,IEC)",ITW -> THIN_WALL(ITW),ITW in 0:N_THIN_WALL_CELLS,"type.f90:2184 (CELL), type.f90:487-500 (THIN_WALL_TYPE)",init.f90:3417 (INIT_THIN_WALL_CELL); TW%WALL_INDEX_M/P init.f90:4373,,Thin walls carry their own BC_INDEX/OD_INDEX/TD_INDEX/B1_INDEX into the same boundary storage (func.f90:4042-4067).
obstruction_extent,"OBSTRUCTION(N)%I1:I2, J1:J2, K1:K2",node indices of the OBST box (cells I1+1..I2 solid),0:IBAR (mesh-local nodes),type.f90:1116-1121,"read.f90:11157-11169 (READ_OBST, from XB via GINV)","read.f90:11676-11688 (CELL_INDEX), read.f90:11708 (BLOCK_CELL); init.f90:195-330 (wall faces)",Mesh-local node indices. An OBST crossing box or level boundaries must be re-clipped per box (FDS splits OBSTs per mesh at read time).
obst_from_cell,CELL(IC)%OBST_INDEX,OBSTRUCTION(N),N in 0:N_OBST (0 = none),type.f90:2179,BLOCK_CELL (read.f90:11708),"init.f90:3258-3269 (surface/consumable lookups, incl. MM%OBSTRUCTION of the other mesh)","Cross-mesh use: MM%OBSTRUCTION(MM%CELL(ICO)%OBST_INDEX) at init.f90:3258, 3269 reads the neighbour's OBST table."
obst_from_wall,WALL(IW)%OBST_INDEX,OBSTRUCTION(N),,type.f90:444,init.f90:3312,,0 for plain external walls.
cface,CFACE(ICF),"CFACE_INDEX (self), BC_INDEX/OD_INDEX/B1_INDEX/B2_INDEX/BR_INDEX, CUT_FACE_IND1/IND2",ICF in 0:N_CFACE_CELLS_DIM,type.f90:1361-1382 (CFACE_TYPE),geom.f90:12147 (ALLOCATE CFACE); func.f90:4072-4101 (ALLOCATE_STORAGE CFACE branch),,The immersed-boundary analogue of WALL. It shares the same BOUNDARY_* storage pools and slot bookkeeping.
cut_face_to_cface,CUT_FACE(ICF)%CFACE_INDEX(IFACE),CFACE index,per boundary cut-face,type.f90:1305,"geom.f90:12181, 12227, 12244",,Two-way link CUT_FACE <-> CFACE (CUT_FACE_IND1/2).
cut_face_iwc,CUT_FACE(ICF)%IWC,WALL index when the cut face lies on a wall,,type.f90:1280,geom.f90:22283 (copy),,CC_IBM only.
wall_cut_face,WALL(IW)%CUT_FACE_INDEX,CUT_FACE,,type.f90:450,(not traced),dump.f90:7914-7915,CC_IBM only; uncertain setter.
cc_cartesian_maps,"CCVAR(I,J,K,CC_IDCC|CC_UNKZ|CC_UNKH|CC_CGSC), FCVAR(I,J,K,CC_IDCF|CC_FGSC,AXIS)","CUT_CELL / CUT_FACE indices, unknown numbers, media type","ISTR:IEND x … (NGUARD=5 guard layers, geom.f90:33; exact bounds not traced)",geom.f90:66-85 (slot parameters),"geom.f90:15811, 15817 (ALLOCATE)","wall.f90:369 (CCVAR(...,CC_CGSC))",Wider halo (NGUARD=5) than the gas arrays. CC_IBM is out of scope for P1.
edge,CELL(IC)%EDGE_INDEX(1:12),"EDGE(IE): CELL_INDEX_MM/PM/MP/PP, NOM_1/2, IIO_1/2…",,"type.f90:2181 (CELL%EDGE_INDEX), type.f90:2190ff (EDGE_TYPE)",init.f90:1413-1415 (DEFINE_EDGE uses EWC%IIO_MIN),,Edge velocity BCs across mesh edges use a single neighbour cell (min corner): pick_min in interface_averaging_sites.csv.
find_wall_index,"FIND_WALL_INDEX(II,JJ,KK,NN,IOR)",walks cells in direction IOR across meshes (SEARCH_OTHER_MESHES) until a non-solid cell; returns its WALL_INDEX(-IOR) and mesh,,func.f90:5449-5490,,init.f90:1951 (INITIALIZE_HT3D_WALL_CELLS),Global cross-mesh geometric search over MESHES(NNN)%CELL_INDEX/CELL. Setup only (HT3D). Needs all-mesh metadata.
surface_index,"CELL(ICG)%SURF_INDEX(-IOR), WALL(IW)%SURF_INDEX, OBSTRUCTION%SURF_INDEX(-3:3)",SURFACE(:) global table,,"type.f90:2183, 442, 1088","init.f90:3299, 3310",wall.f90 (SF => SURFACE(WC%SURF_INDEX)),Global (non-mesh) table; identical on all boxes.
