tier,case,anchor,req,cat,meshes,cells,nres,dx,ranks_str,firebot,t_end,steps_est,cost,PI,wall_s,mem_gb,fits,tclass,derive,verifies,judge,notes
T1,Scalar_Analytical_Solution/soborot_superbee_square_wave_128.fds,,,"a,d",4,16384,1,0.007812x1x0.007812,4,4,1.575745,404,iso2d,1,5,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,Solid-body-rotation scalar advection (Superbee) on 4 meshes,soborot_mass_transport.py: L1 error <= 1.0e-2 (square wave),
T1,Scalar_Analytical_Solution/soborot_superbee_square_wave_128_1mesh.fds,,,"a,d",1,16384,1,0.007812x1x0.007812,1,1,1.575745,404,iso2d,1,10,0.1,yes,T1 (T0 stretch) / T2,,Same on 1 mesh: multi-mesh result must equal single-mesh result,soborot_mass_transport.py: |L1(4 mesh) - L1(1 mesh)| <= 1e-10  (strongest existing mesh-interface invariance check),
T1,NS_Analytical_Solution/ns2d_8.fds,,,"b,e",1,64,1,0.785398x0.1x0.785398,1,1,6.283185,97,dns,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Analytical 2-D NS, nu=0, N=8 (advection order)","ns2d.py -> ns2d_error.csv (rms u error vs dx), dataplot N/A plot; V&V gate: observed order >= 1.8",
T1,NS_Analytical_Solution/ns2d_8_nupt1.fds,,,"b,e",1,64,1,0.785398x0.1x0.785398,1,1,6.283185,97,dns,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Analytical 2-D NS, nu=0.1, N=8 (viscous order)","dataplot: Convergent Series (N/A, tol 0); V&V gate: observed order >= 1.8",
T1,NS_Analytical_Solution/ns2d_16.fds,,,"b,e",1,256,1,0.392699x0.1x0.392699,1,1,6.283185,193,dns,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Analytical 2-D NS, nu=0, N=16 (advection order)","ns2d.py -> ns2d_error.csv (rms u error vs dx), dataplot N/A plot; V&V gate: observed order >= 1.8",
T1,NS_Analytical_Solution/ns2d_16_nupt1.fds,,,"b,e",1,256,1,0.392699x0.1x0.392699,1,1,6.283185,193,dns,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Analytical 2-D NS, nu=0.1, N=16 (viscous order)","dataplot: Convergent Series (N/A, tol 0); V&V gate: observed order >= 1.8",
T1,NS_Analytical_Solution/ns2d_32.fds,,,"b,e",1,1024,1,0.19635x0.1x0.19635,1,1,6.283185,384,dns,1,4,0.1,yes,T1 (T0 stretch) / T2,,"Analytical 2-D NS, nu=0, N=32 (advection order)","ns2d.py -> ns2d_error.csv (rms u error vs dx), dataplot N/A plot; V&V gate: observed order >= 1.8",
T1,NS_Analytical_Solution/ns2d_32_nupt1.fds,,,"b,e",1,1024,1,0.19635x0.1x0.19635,1,1,6.283185,384,dns,1,4,0.1,yes,T1 (T0 stretch) / T2,,"Analytical 2-D NS, nu=0.1, N=32 (viscous order)","dataplot: Convergent Series (N/A, tol 0); V&V gate: observed order >= 1.8",
T1,NS_Analytical_Solution/ns2d_64.fds,,,"b,e",1,4096,1,0.098175x0.1x0.098175,1,1,6.283185,768,dns,1,9,0.1,yes,T1 (T0 stretch) / T2,,"Analytical 2-D NS, nu=0, N=64 (advection order)","ns2d.py -> ns2d_error.csv (rms u error vs dx), dataplot N/A plot; V&V gate: observed order >= 1.8",
T1,NS_Analytical_Solution/ns2d_64_nupt1.fds,,,"b,e",1,4096,1,0.098175x0.1x0.098175,1,1,6.283185,768,dns,1,9,0.1,yes,T1 (T0 stretch) / T2,,"Analytical 2-D NS, nu=0.1, N=64 (viscous order)","dataplot: UVEL vs exact, Relative Error, mean, tol 0.01",
T1,Scalar_Analytical_Solution/saad_512_cfl_1.fds,,,"b,e",1,2048,1,0.003906x0.1x0.0625,1,1,0.390625,100,dns,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Saad variable-density MMS, temporal refinement (CFL 1)",saad_mms_temporal_error.py: L2 temporal order of rho and Z >= 1.99 (warning otherwise),
T1,Scalar_Analytical_Solution/saad_512_cfl_p5.fds,,,"b,e",1,2048,1,0.003906x0.1x0.0625,1,1,0.390625,200,dns,1,4,0.1,yes,T1 (T0 stretch) / T2,,"Saad variable-density MMS, temporal refinement (CFL p5)",saad_mms_temporal_error.py: L2 temporal order of rho and Z >= 1.99 (warning otherwise),
T1,Scalar_Analytical_Solution/saad_512_cfl_p25.fds,,,"b,e",1,2048,1,0.003906x0.1x0.0625,1,1,0.390625,400,dns,1,5,0.1,yes,T1 (T0 stretch) / T2,,"Saad variable-density MMS, temporal refinement (CFL p25)",saad_mms_temporal_error.py: L2 temporal order of rho and Z >= 1.99 (warning otherwise),
T1,Scalar_Analytical_Solution/saad_512_cfl_p125.fds,,,"b,e",1,2048,1,0.003906x0.1x0.0625,1,1,0.390625,800,dns,1,6,0.1,yes,T1 (T0 stretch) / T2,,"Saad variable-density MMS, temporal refinement (CFL p125)",saad_mms_temporal_error.py: L2 temporal order of rho and Z >= 1.99 (warning otherwise),
T1,Scalar_Analytical_Solution/saad_512_cfl_p0625.fds,,,"b,e",1,2048,1,0.003906x0.1x0.0625,1,1,0.390625,1600,dns,1,10,0.1,yes,T1 (T0 stretch) / T2,,"Saad variable-density MMS, temporal refinement (CFL p0625)",saad_mms_temporal_error.py: L2 temporal order of rho and Z >= 1.99 (warning otherwise),
T1,Scalar_Analytical_Solution/shunn3_32.fds,,,"b,e",1,1024,1,0.0625x0.1x0.0625,1,1,1,128,dns,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Shunn variable-density MMS, spatial refinement N=32","shunn_mms.py: finest-grid (512) error limits e_rho<=2e-4, e_Z<=1e-4, e_u<=3e-5, e_H<=2e-3 (Tier 2); T1 gate: observed order 32->128 >= 1.8",
T1,Scalar_Analytical_Solution/shunn3_64.fds,,,"b,e",1,4096,1,0.03125x0.1x0.03125,1,1,1,256,dns,1,5,0.1,yes,T1 (T0 stretch) / T2,,"Shunn variable-density MMS, spatial refinement N=64","shunn_mms.py: finest-grid (512) error limits e_rho<=2e-4, e_Z<=1e-4, e_u<=3e-5, e_H<=2e-3 (Tier 2); T1 gate: observed order 32->128 >= 1.8",
T1,Scalar_Analytical_Solution/shunn3_128.fds,,,"b,e",1,16384,1,0.015625x0.1x0.015625,1,1,1,512,dns,1,20,0.1,yes,T1 (T0 stretch) / T2,,"Shunn variable-density MMS, spatial refinement N=128","shunn_mms.py: finest-grid (512) error limits e_rho<=2e-4, e_Z<=1e-4, e_u<=3e-5, e_H<=2e-3 (Tier 2); T1 gate: observed order 32->128 >= 1.8",
T1,Scalar_Analytical_Solution/shunn3_4mesh_128.fds,,,"a,b",4,16384,1,0.015625x0.1x0.015625,4,4,1,512,dns,1,9,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,Same MMS on 4 meshes; compare MMS error with shunn3_128 (interface invariance),no FDS script uses it; V&V gate: MMS L2 errors within 1% (TBD after measuring legacy spread) of shunn3_128,
T1,Energy_Budget/energy_budget_tmix.fds,,,c,1,121,1,1x1x1,1,1,20,2000,iso2d,1,3,0.1,yes,T1 (T0 stretch) / T2,,Mixing of hot/cold gas in closed 2-D box: final temperature from energy conservation,"dataplot: Temp, Relative Error, end, tol 0.01",
T1,Flowfields/species_conservation_1.fds,,,c,1,8000,1,0.2x0.2x0.2,1,1,60.,167,iso3d,1,6,0.1,yes,T1 (T0 stretch) / T2,,Low-flux hot-gas injection: species mass in _mass.csv vs injected,"dataplot: PROPANE mass (_mass.csv), Relative Error, end, tol 0.01",
T1,Flowfields/species_conservation_2.fds,,,"c,b",1,2000,1,0.1x0.1x0.1,1,1,25.,139,iso3d,1.5,4,0.1,yes,T1 (T0 stretch) / T2,,"Air injection into partitioned, pressurised compartment (UGLMAT); species mass flux integrals","dataplot: M1|M2, Absolute Error, end, tol 0.01 kg",
T1,Species/1_step_2_step_compare.fds,,,f,4,32000,1,0.05x0.05x0.05,4,4,10,667,fire,1,41,0.1,yes,T1 first 100 steps (T2 full run) / T2,,Small 4-mesh fire; integrated heat release with 1-step vs 2-step chemistry,"dataplot: Q (integrated HRR), Relative Error, end, tol 0.005",
T1,Restart/restart_test1a.fds,yes,FR-080,g,1,8192,1,0.1x0.1x0.1,1,1,5.,167,fire,1,10,0.1,yes,T0 (proposed) / T1 minimum (FR-080),,Plume-whirl fire; writes restart at t=5 s,firebot restart set (run with -r); no dataplot row,
T1,VV/restart_test1_continuous.fds,,FR-080,g,1,8192,1,0.1x0.1x0.1,1,- (derived (V&V)),10.,334,fire,1,17,0.1,yes,T0 (proposed) / T1 minimum vs restart_test1b,copy of restart_test1a with T_END=10 and no DT_RESTART; CHID restart_test1_continuous,Uninterrupted 0-10 s companion for the restart_test1a/b pair,reference for restart comparison,
T1,Restart/restart_test1b.fds,yes,FR-080,g,1,8192,1,0.1x0.1x0.1,1,1,10.,334,fire,1,17,0.1,yes,T0 (proposed) / T1 minimum (FR-080),,"Restarts restart_test1a to t=10 s. V&V adds a continuous 0-10 s companion run (copy of 1a with T_END=10, no DT_RESTART) for comparison",none in FDS; V&V: restart vs continuous within restart tolerance (measured; FDS guide says not bitwise),CHID of 1b = restart_test1a (reads its .restart)
T1,DETERMINISM: dancing_eddies_default x2 (4 ranks) + soborot_superbee_128 on 1 vs 4 ranks,False,,g,4 / 1+4,12000 / 16384x2,,,"4 / 1,4",-,-,,dns,1,90,,yes,"T0 (repeat runs); T0 expected, T1 accepted (1 vs 4 ranks)",,"Run-to-run bitwise reproducibility (same binary, ranks, decomposition) and rank-count invariance of a multi-mesh case","V&V: byte-identical CSVs at SIG_FIGS=17 for repeat runs; 1-vs-4-rank: measured, expected bitwise for scalar-only soborot (TBC)",
T2,Pressure_Solver/dancing_eddies_embed.fds,,,"a,b",5,14400,2,0.0005x0.002x0.0005;0.001x0.002x0.001,5,5,2.0,3556,dns,1,32,0.1,yes,"T1 vs baseline, same solver, if the legacy multi-resolution path is kept in uniform mode (else T2) / T2",,Fine (0.5 mm) mesh fully embedded in coarse (1 mm) meshes; eddies tracked coarse->fine through inflow boundaries,no dataplot row (image only) -> V&V regression + pres-vs-1mesh informational,
T2,Pressure_Solver/dancing_eddies_tight.fds,,,b,4,12000,1,0.001x0.002x0.001,4,4,2.0,1778,dns,3,49,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,"Pressure-solver variant (tight) on 4-mesh vortex street: iterations, cpu, probe pressure",dataplot: pres vs 1mesh Absolute Error end tol 0.3; iter/cpu N/A,
T2,Pressure_Solver/dancing_eddies_tight_no_precon.fds,,,b,4,12000,1,0.001x0.002x0.001,4,4,2.0,1778,dns,3,49,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,"Pressure-solver variant (tight_no_precon) on 4-mesh vortex street: iterations, cpu, probe pressure","dataplot: pres vs 1mesh, Absolute Error, end, tol 0.01 (f-rows) / iter N/A",
T2,Pressure_Solver/dancing_eddies_ulmat.fds,,,b,4,12000,1,0.001x0.002x0.001,4,4,2.0,1778,dns,1.5,26,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,"Pressure-solver variant (ulmat) on 4-mesh vortex street: iterations, cpu, probe pressure","dataplot: pres vs 1mesh, Absolute Error, end, tol 0.01 (f-rows) / iter N/A",
T2,Pressure_Solver/dancing_eddies_ulmat_hypre.fds,,,b,4,12000,1,0.001x0.002x0.001,4,4,2.0,1778,dns,1.5,26,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,"Pressure-solver variant (ulmat_hypre) on 4-mesh vortex street: iterations, cpu, probe pressure","dataplot: pres vs 1mesh, Absolute Error, end, tol 0.01 (f-rows) / iter N/A",
T2,Pressure_Solver/dancing_eddies_uglmat_hypre.fds,,,b,4,12000,1,0.001x0.002x0.001,4,4,2.0,1778,dns,1.5,26,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,"Pressure-solver variant (uglmat_hypre) on 4-mesh vortex street: iterations, cpu, probe pressure","dataplot: pres vs 1mesh, Absolute Error, end, tol 0.01 (f-rows) / iter N/A",
T2-Intel,Pressure_Solver/dancing_eddies_uglmat_pardiso.fds,,,b,4,12000,1,0.001x0.002x0.001,4,4,2.0,1778,dns,1.5,26,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,UGLMAT with MKL cluster PARDISO,"dataplot: pres vs 1mesh, Absolute Error, end, tol 0.01",GNU build has no MKL -> Intel binary only
T2,Adaptive_Mesh_Refinement/ns2d_16_emb_1to1_refinement.fds,,"FR-014 (control),A-09","a,e",2,320,1,0.392699x0.1x0.392699,2,2 (commented),30.0,917,dns,10,8,0.1,yes,T1 / T2 vs baseline error,,Embedded 8x8 mesh at the SAME resolution (1:1) inside a 16x16 periodic mesh: isolates overlap/coupling error from refinement error,"No FDS criterion: commented out of FDS_Cases.sh (lines 4-6) by 042aa2624d (McDermott, 2024-11-08) ""demonstrating errors in both embedded mesh strategy and interpolated refinement""; no dataplot row, not in Verif. Guide. V&V metric (A-09): completes to T_END without NaN/instability; RMS and probe u,p error vs analytic (ns2d.py method) recorded as baseline value",
T2,Scalar_Analytical_Solution/shunn3_4mesh_32.fds,,,"a,b",4,1024,1,0.0625x0.1x0.0625,4,4,1,128,dns,1,3,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,4-mesh Shunn MMS N=32 vs single mesh,V&V: MMS error within TBD of single-mesh counterpart,
T2,Scalar_Analytical_Solution/shunn3_4mesh_64.fds,,,"a,b",4,4096,1,0.03125x0.1x0.03125,4,4,1,256,dns,1,4,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,4-mesh Shunn MMS N=64 vs single mesh,V&V: MMS error within TBD of single-mesh counterpart,
T2,Scalar_Analytical_Solution/shunn3_4mesh_256.fds,,,"a,b",4,65536,1,0.007812x0.1x0.007812,4,4,1,1025,dns,1,51,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,4-mesh Shunn MMS N=256 vs single mesh,V&V: MMS error within TBD of single-mesh counterpart,
T2,Scalar_Analytical_Solution/shunn3_256.fds,,,"b,e",1,65536,1,0.007812x0.1x0.007812,1,1,1,1025,dns,1,137,0.1,yes,T1 (T0 stretch) / T2,,Shunn MMS N=256,shunn_mms.py series,
T2,Scalar_Analytical_Solution/shunn3_4mesh_512.fds,,,"b,e",4,262144,1,0.003906x0.1x0.003906,4,4,1,2049,dns,1,387,0.31,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,Shunn MMS N=512 on 4 meshes (substitute for single-mesh shunn3_512 to stay parallel),"shunn_mms.py finest-grid limits (applied by V&V to 4-mesh run; single-mesh shunn3_512 optional, est. below)",
T2-opt,Scalar_Analytical_Solution/shunn3_512.fds,,,"b,e",1,262144,1,0.003906x0.1x0.003906,1,1,1,2049,dns,1,1077,0.31,yes,T1 (T0 stretch) / T2,,Shunn MMS N=512 single mesh (FDS official finest grid),"shunn_mms.py: e_rho<=2e-4, e_Z<=1e-4, e_u<=3e-5, e_H<=2e-3",
T2,Scalar_Analytical_Solution/shunn3_256_cfl_1.fds,,,"b,e",1,65536,1,0.007812x0.1x0.007812,1,1,0.013,10,dns,1,4,0.1,yes,T1 (T0 stretch) / T2,,Shunn MMS temporal series CFL 1,"shunn_mms.py: temporal L2 order rho,Z,U >= 1.99, H >= 0.99",
T2,Scalar_Analytical_Solution/shunn3_256_cfl_p5.fds,,,"b,e",1,65536,1,0.007812x0.1x0.007812,1,1,0.013,20,dns,1,6,0.1,yes,T1 (T0 stretch) / T2,,Shunn MMS temporal series CFL p5,"shunn_mms.py: temporal L2 order rho,Z,U >= 1.99, H >= 0.99",
T2,Scalar_Analytical_Solution/shunn3_256_cfl_p25.fds,,,"b,e",1,65536,1,0.007812x0.1x0.007812,1,1,0.013,40,dns,1,8,0.1,yes,T1 (T0 stretch) / T2,,Shunn MMS temporal series CFL p25,"shunn_mms.py: temporal L2 order rho,Z,U >= 1.99, H >= 0.99",
T2,Scalar_Analytical_Solution/shunn3_256_cfl_p125.fds,,,"b,e",1,65536,1,0.007812x0.1x0.007812,1,1,0.013,80,dns,1,13,0.1,yes,T1 (T0 stretch) / T2,,Shunn MMS temporal series CFL p125,"shunn_mms.py: temporal L2 order rho,Z,U >= 1.99, H >= 0.99",
T2,Scalar_Analytical_Solution/shunn3_256_cfl_p0625.fds,,,"b,e",1,65536,1,0.007812x0.1x0.007812,1,1,0.013,160,dns,1,24,0.1,yes,T1 (T0 stretch) / T2,,Shunn MMS temporal series CFL p0625,"shunn_mms.py: temporal L2 order rho,Z,U >= 1.99, H >= 0.99",
T2,Scalar_Analytical_Solution/soborot_godunov_square_wave_16.fds,,,"d,e",1,256,1,0.0625x1x0.0625,1,1,3.14159,101,iso2d,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Scalar advection square wave, godunov, N=16","soborot_mass_transport.py (128: godunov<=4.2e-2, charm<=1.4e-2, superbee<=1.0e-2)",
T2,Scalar_Analytical_Solution/soborot_godunov_square_wave_32.fds,,,"d,e",1,1024,1,0.03125x1x0.03125,1,1,3.14159,202,iso2d,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Scalar advection square wave, godunov, N=32","soborot_mass_transport.py (128: godunov<=4.2e-2, charm<=1.4e-2, superbee<=1.0e-2)",
T2,Scalar_Analytical_Solution/soborot_godunov_square_wave_64.fds,,,"d,e",1,4096,1,0.015625x1x0.015625,1,1,3.14159,403,iso2d,1,5,0.1,yes,T1 (T0 stretch) / T2,,"Scalar advection square wave, godunov, N=64","soborot_mass_transport.py (128: godunov<=4.2e-2, charm<=1.4e-2, superbee<=1.0e-2)",
T2,Scalar_Analytical_Solution/soborot_godunov_square_wave_128.fds,,,"d,e",4,16384,1,0.007812x1x0.007812,4,4,3.14159,805,iso2d,1,8,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,"Scalar advection square wave, godunov, N=128","soborot_mass_transport.py (128: godunov<=4.2e-2, charm<=1.4e-2, superbee<=1.0e-2)",
T2,Scalar_Analytical_Solution/soborot_charm_square_wave_16.fds,,,"d,e",1,256,1,0.0625x1x0.0625,1,1,1.575745,51,iso2d,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Scalar advection square wave, charm, N=16","soborot_mass_transport.py (128: godunov<=4.2e-2, charm<=1.4e-2, superbee<=1.0e-2)",
T2,Scalar_Analytical_Solution/soborot_charm_square_wave_32.fds,,,"d,e",1,1024,1,0.03125x1x0.03125,1,1,1.575745,101,iso2d,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Scalar advection square wave, charm, N=32","soborot_mass_transport.py (128: godunov<=4.2e-2, charm<=1.4e-2, superbee<=1.0e-2)",
T2,Scalar_Analytical_Solution/soborot_charm_square_wave_64.fds,,,"d,e",1,4096,1,0.015625x1x0.015625,1,1,1.575745,202,iso2d,1,4,0.1,yes,T1 (T0 stretch) / T2,,"Scalar advection square wave, charm, N=64","soborot_mass_transport.py (128: godunov<=4.2e-2, charm<=1.4e-2, superbee<=1.0e-2)",
T2,Scalar_Analytical_Solution/soborot_charm_square_wave_128.fds,,,"d,e",4,16384,1,0.007812x1x0.007812,4,4,1.575745,404,iso2d,1,5,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,"Scalar advection square wave, charm, N=128","soborot_mass_transport.py (128: godunov<=4.2e-2, charm<=1.4e-2, superbee<=1.0e-2)",
T2,Scalar_Analytical_Solution/soborot_superbee_square_wave_16.fds,,,"d,e",1,256,1,0.0625x1x0.0625,1,1,1.575745,51,iso2d,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Scalar advection square wave, superbee, N=16","soborot_mass_transport.py (128: godunov<=4.2e-2, charm<=1.4e-2, superbee<=1.0e-2)",
T2,Scalar_Analytical_Solution/soborot_superbee_square_wave_32.fds,,,"d,e",1,1024,1,0.03125x1x0.03125,1,1,1.575745,101,iso2d,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Scalar advection square wave, superbee, N=32","soborot_mass_transport.py (128: godunov<=4.2e-2, charm<=1.4e-2, superbee<=1.0e-2)",
T2,Scalar_Analytical_Solution/soborot_superbee_square_wave_64.fds,,,"d,e",1,4096,1,0.015625x1x0.015625,1,1,1.575745,202,iso2d,1,4,0.1,yes,T1 (T0 stretch) / T2,,"Scalar advection square wave, superbee, N=64","soborot_mass_transport.py (128: godunov<=4.2e-2, charm<=1.4e-2, superbee<=1.0e-2)",
T2,Scalar_Analytical_Solution/soborot_superbee_square_wave_128.fds,,,"d,e",4,16384,1,0.007812x1x0.007812,4,4,1.575745,404,iso2d,1,5,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,"Scalar advection square wave, superbee, N=128","soborot_mass_transport.py (128: godunov<=4.2e-2, charm<=1.4e-2, superbee<=1.0e-2)",
